word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
cough,consonant,0.053928684835621,-0.050408631122577,0.157058190504796,COUGH,206,6,xhṇɟɦʔckstɬg,k,0.526947088905451,0.506805403577697,0.548066283423907,0.541536700911471,0.081942830138369,vowelConsonant
crooked,consonant,0.208316442256059,0.09326998177284,0.320679284927609,CROOKED,176,6,ʎgɣkvrɟxɬçŋd,k,0.553654752110029,0.531997326400503,0.575201592759291,0.56305811272741,0.207532376186324,vowelConsonant
crush,consonant,0.09909149668378,-0.01264417286601,0.209456195519414,CRUSH,180,6,rgzɬŋsʔtɟdɲkjɽm,t,0.534796940205294,0.513561360147337,0.5561850246221,0.549173106356695,0.126377358871677,vowelConsonant
cry,consonant,-0.248705374399551,-0.347257878821065,-0.151991257985146,CRY,226,6,çɣdgcmpɽtsbzɬṇlhkṃrṛἠɦ,ṇ,0.474738133595685,0.455047363484879,0.494197074323333,0.488607181721631,-0.224066868533493,vowelConsonant
D_fs,consonant,-0.071179183240941,-0.171311479233148,0.028900138319032,D_FS,228,6,ɟrɬbhgṇkcljtṃçṛἠ,ṇ,0.505420693868978,0.485873537195218,0.525653194139334,0.514317137593157,-0.075666391569007,vowelConsonant
D_ms,consonant,-0.059482707685575,-0.155503561420574,0.036347349702811,D_MS,229,6,ɬrbgchlṇɟktjṃçṛἠʔfd,ṇ,0.507443576213673,0.488015691088497,0.527099956836653,0.516939763901564,-0.06051695591655,vowelConsonant
dark,consonant,0.093565245999763,-0.008010184827268,0.195786941777446,DARK,208,6,ɬzcxgmrtsfçʎkdŋ,t,0.533933495804063,0.513568430089471,0.553607579023081,0.540901084031331,0.078249726051391,vowelConsonant
day,consonant,0.15315890817478,0.057300276968482,0.250015557479373,DAY,226,6,ɣɲɦṇɽʎljnɟvrhcmʔd,n,0.544224986702476,0.524903837373237,0.564164446279591,0.535499007578071,0.04689218506554,vowelConsonant
DD_fs,consonant,-0.032215951739707,-0.13862215262051,0.074675391327435,DD_FS,190,6,ɬɦbʎsɲcʔhɽfrṃgnṛŋmἠkt,ɦ,0.512234036171219,0.491253691317867,0.533349373630524,0.522044461559487,-0.031013772056304,vowelConsonant
DD_ms,consonant,-0.020534595081013,-0.127679658907496,0.088186617513551,DD_MS,190,6,ʎɦgbhsʔrɽfɬṃtkṛἠ,ʎ,0.514270658875039,0.493508757066803,0.535471375659874,0.524579487407262,-0.01635279357379,vowelConsonant
deep,consonant,0.062947144952489,-0.048888350903627,0.170182646397329,DEEP,175,6,ɬɣɲdɟrgznkvlc,k,0.52859729353481,0.507042121777053,0.549589128087255,0.537577616228406,0.058951797028761,vowelConsonant
defecate,consonant,0.023852450654965,-0.082262876940628,0.131370564438316,DEFECATE,193,6,ɲʔcdɟçzɬkshp,k,0.521887513170636,0.501135036260316,0.542500033057553,0.533645311048129,0.036143508610416,vowelConsonant
die,consonant,-0.084696590178124,-0.183664327754607,0.013017442322798,DIE,235,6,gɽɦncŋtzrṇsɬjṃkṛἠɟ,ɦ,0.503278838810239,0.483469288136971,0.5224341943713,0.516377974897229,-0.063762519910632,vowelConsonant
dirty,consonant,0.112637872008654,0.008191998077843,0.220412325860202,DIRTY,193,6,çgsbtɲcrpkɬ,t,0.53730304530233,0.516890757680735,0.558116107770444,0.542993120052566,0.09040799706317,vowelConsonant
do,consonant,-0.241025713066261,-0.337555027573815,-0.144093484072388,DO,224,6,çɣɽcɬʎlɦŋrfpxbtṇvkṃsṛἠ,ç,0.475893260111532,0.456695272837052,0.495719391608241,0.498496375463235,-0.166987150045327,vowelConsonant
dog,consonant,-0.026942818391619,-0.126586318243004,0.072055286774929,DOG,236,6,bɬpɽgŋtdɲmfʔṇznɣhɟṃṛἠ,ṇ,0.512753298147407,0.494084897931291,0.532807795085418,0.518165018260374,-0.053437554537226,vowelConsonant
drink,consonant,-0.106074839049483,-0.207467055018938,-0.007182723195915,DRINK,232,6,ɽgpbɣzxjvɬrtlṇshṃṛἠ,ɽ,0.499348429711421,0.479708297729416,0.51959114756437,0.513310766487667,-0.081478376244035,vowelConsonant
dry,consonant,0.101496875038616,-0.00198848300505,0.206387036410927,DRY,217,6,ɣʎrxɦṇzkhfgvɽçsɲb,k,0.535235368298944,0.514525488571222,0.555829480142657,0.541019261335688,0.078936308916908,vowelConsonant
DS_fs,consonant,-0.031515364165448,-0.138376407469807,0.075784577817931,DS_FS,197,6,bɬɦʎfɲsɽʔhŋrɟṃjdṛɣtἠ,ɦ,0.512158353648234,0.491500403258904,0.533286477671613,0.522895359300452,-0.026093490114541,vowelConsonant
DS_ms,consonant,-0.027761372069257,-0.128530989058022,0.076610128435202,DS_MS,198,6,ʎɦbfshrʔɽɲdgtɬṃṛɣἠŋ,ʎ,0.512904884489673,0.492510191839157,0.533236764338638,0.523132982157457,-0.024719309468439,vowelConsonant
dust,consonant,0.122204754932072,0.015850361261643,0.229907046733414,DUST,196,6,ɽpɟṃxbrfmŋhgʎ,p,0.538933488435873,0.518068665997009,0.559373484111602,0.548884794146172,0.12469741922715,vowelConsonant
ear,consonant,0.060471160795452,-0.036700149232272,0.16069336230954,EAR,236,6,ɣçʎɲŋɟkʔlsvnmfɽ,k,0.52810367132078,0.509109993970002,0.548239824227984,0.535511302009015,0.046963493091922,vowelConsonant
earth,consonant,0.051886529629557,-0.048218387595828,0.150908085106416,EARTH,229,6,ṇmɬʔblvxtgndh,t,0.526688383002608,0.507103917440481,0.546534803159406,0.538586133281185,0.064805687191982,vowelConsonant
eat,consonant,-0.23357717872331,-0.328578782165202,-0.138265928760832,EAT,230,6,fɦʎrɣvŋɲcbptṇdhkzglṃṛἠs,ɦ,0.477275198900531,0.458017360409551,0.496655015778929,0.50759508321257,-0.114477110133223,vowelConsonant
egg,consonant,0.028602800194346,-0.072767921610624,0.130074482655804,EGG,219,6,ɬgɟfçklɲŋrvʔhj,k,0.522938072764189,0.502610846189446,0.542875313409538,0.535129772037215,0.044750725321145,vowelConsonant
eight,consonant,0.079408695194465,-0.024165991586766,0.186981720831232,EIGHT,194,6,ɬzçsṃlpdhtjmɽnvk,t,0.531510207190299,0.51156026939267,0.552948248680809,0.543395363609281,0.092746710076419,vowelConsonant
eleven,consonant,0.045624885810585,-0.06931816678494,0.160999145529545,ELEVEN,170,6,ɽṃçɬmtnṇkdgɣs,t,0.52563725468562,0.503486428248966,0.547915035276665,0.538387553315087,0.0636528956166,vowelConsonant
empty,consonant,0.030078608889969,-0.081576560298497,0.141468143468896,EMPTY,172,6,hŋxkçɦɣrmcp,k,0.523022686452298,0.501016675841621,0.544323318632236,0.529658975148873,0.013046556685274,vowelConsonant
eye,consonant,-0.061128078980125,-0.157543531298797,0.034991963377467,EYE,236,6,çɬbjɟpvhrṇŋɣgṃxsṛἠ,ṇ,0.507143473549206,0.488234838163644,0.526827226846311,0.520750751061979,-0.038493193173958,vowelConsonant
F_fs,consonant,-0.37278847033666,-0.468235204511746,-0.277707074377755,F_FS,238,6,ɲrdɣʎnlskzɟcɬghfvxṇçjṃŋṛἠ,ɲ,0.453546486031136,0.434530980007373,0.472699969017649,0.473099002795422,-0.313699827453435,vowelConsonant
F_ms,consonant,-0.372397127341794,-0.471116931345604,-0.275667599582352,F_MS,238,6,ɲrdɣʎnlskzɟcɬghfvxṇçjṃŋṛἠʔ,ɲ,0.453393494518895,0.433596622369518,0.472525737579333,0.473099002795422,-0.313699827453435,vowelConsonant
fall,consonant,0.014014965339204,-0.084157886643143,0.111298553407011,FALL,234,6,ɽfcŋbthlvkdʔpjzʎrx,t,0.520163598904045,0.500898111964207,0.539900341816801,0.539535588397059,0.070318429925693,vowelConsonant
far,consonant,0.036100433842414,-0.065192577466374,0.136842408192879,FAR,228,6,zrhxgɦldjtvkɟŋ,t,0.52407740227548,0.504037564889635,0.543764360275329,0.533891898642016,0.037573031883631,vowelConsonant
fart,consonant,0.040218538749938,-0.082769255097114,0.164405159143642,FART,127,6,zɬfpçstʔrh,t,0.524950915972233,0.501256104920654,0.548523355948591,0.550093455338547,0.131741348040617,vowelConsonant
feather,consonant,0.030407813407393,-0.071843132015428,0.133523313969126,FEATHER,208,6,ɽfɣpɬlcbhtɲ,t,0.522931392759253,0.503101289593576,0.543486404858055,0.530137036269432,0.015815242139928,vowelConsonant
few,consonant,0.087748612665638,-0.019014400909301,0.195568953037767,FEW,192,6,ɽkhsdtxɬgfpçŋr,k,0.533002879426022,0.512495257518176,0.553597201613848,0.537881214591482,0.060713829570691,vowelConsonant
FF_fs,consonant,-0.114634525479995,-0.21412286452444,-0.014213501098101,FF_FS,222,6,xɬrɽnlɟɦçɣcɲhṇfdsŋgṃvṛmἠ,ɽ,0.497915313272697,0.478017373355415,0.518022566878983,0.500284454135452,-0.156668514778368,vowelConsonant
FF_ms,consonant,-0.112472443522027,-0.210936254985042,-0.01206384357584,FF_MS,223,6,xɬrɽnlɟɦçɣcɲhṇdfsṃṛvmἠŋ,ɽ,0.498392692187703,0.478381830815547,0.518436120423991,0.500919657477934,-0.153002890122006,vowelConsonant
finger,consonant,0.105494345400006,0.004059884967101,0.207709895183258,FINGER,215,6,ṃɬʎzŋsldpmɟʔkɽr,k,0.536106492857799,0.515976509775348,0.555578161623224,0.541871925083483,0.083890887850925,vowelConsonant
fingernail,consonant,0.209209399065277,0.10793992352953,0.311552701651417,FINGERNAIL,223,6,ɬfsʔɽpɦlxrʎtɣŋkcm,s,0.553894909471293,0.533696868188834,0.573762280568623,0.560986259956015,0.195389305341464,vowelConsonant
fire,consonant,-0.052385535690366,-0.146977870372903,0.04238495423874,FIRE,232,6,ɲzbɦrʎnjṇvslgṃṛmἠ,ɦ,0.508846015991346,0.489435571137877,0.528086100647265,0.522745212791766,-0.026961761277581,vowelConsonant
fish,consonant,0.07608168777879,-0.024888361605969,0.17843901931964,FISH,222,6,ʎlɬjgsɲkvcfbm,k,0.530812161242833,0.510922578815789,0.551055777729469,0.534291219714373,0.039888189153989,vowelConsonant
